basisOfRecord,brackish,catalogNumber,class,classid,collectionCode,country,date_end,date_mid,date_start,date_year,day,decimalLatitude,decimalLongitude,eventDate,family,familyid,genus,genusid,gigaclass,gigaclassid,infraphylum,infraphylumid,institutionCode,kingdom,kingdomid,locality,marine,month,order,orderid,parvphylum,parvphylumid,phylum,phylumid,scientificName,scientificNameID,species,speciesid,subfamily,subfamilyid,subphylum,subphylumid,superclass,superclassid,waterBody,year,id,dataset_id,node_id,dropped,absence,originalScientificName,aphiaID,flags,bathymetry,shoredistance,sst,sss,datasetID,depth,individualCount,materialSampleID,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceID,occurrenceRemarks,occurrenceStatus,scientificNameAuthorship,taxonRank,sex,category,associatedReferences,bibliographicCitation,coordinateUncertaintyInMeters,footprintWKT,specificEpithet,coordinatePrecision,verbatimCoordinates,vernacularName,dynamicProperties,identifiedBy,eventID,organismID,organismQuantity,organismQuantityType,continent,georeferenceRemarks,recordNumber,recordedBy,stateProvince
Occurrence,True,#1307366834967#0.6169509987239162,Teleostei,293496,DCR (IRD),,,,,,,-3.500139,69.55014,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000138ca-3fcc-4e74-8966-4fcd23c0d346,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],4066.0,312923,29.06,34.95,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366834967#0.6169509987239162:0xF2D0A70101000800",EME_1-fr.ird.observe.entities.TailleThon#1307366834967#0.6169509987239162,present,,,IND,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,MCM-LINE-2459430,Teleostei,293496,LINE,South Africa,1006646400000.0,1006646400000.0,1006646400000.0,2001.0,25,-33.9028015137,18.4349994659,2001-11-25T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Table Bay Harbour,True,11,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,2001,0001815c-5a72-437f-9119-0f9a5543aff4,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus alalunga,127026,['NO_DEPTH'],15.0,289,16.0,34.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,1000339200000.0,1000339200000.0,1000339200000.0,2001.0,,38.0,-73.0,2001-09-13,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Mid Atlantic Bight,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00019bfc-6a64-461b-9e3b-7eaec430bc40,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],2519.0,185290,18.93,35.5,SEFSC_LogBook,22.0,2,243819,22.0,22.0,2020-08-04,54a24870-d69e-11ea-a976-776999cfb07f,For Field Number 243819:Total fish caught 12; catch per unit effort (fish per hook) 0.02,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,,,938822400000.0,938822400000.0,938822400000.0,1999.0,,38.8833332062,-69.4333305359,1999-10-02T00:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00019cca-198b-483a-9923-75fa5cdd9a58,7aee17f1-d6e8-4204-a4b2-eafdf89563cf,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus alalunga,127026,[],3153.0,266518,19.55,35.59,,1300.0,,,1500.0,1100.0,,,Haul: 14; Trip: O12,,,,Male,,,,,,,5739.53,"slon: -69.4166641235352, elon: -69.4499969482422, slat: 38.8333320617676, elat: 38.9333343505859",,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,1008374400000.0,1008374400000.0,1008374400000.0,2001.0,,39.83,-71.03,2001-12-15,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Mid Atlantic Bight,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0001b068-15d7-4ac3-bbf6-ed9af1bf7b4c,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],996.0,153428,16.29,34.43,SEFSC_LogBook,20.0,6,246490,20.0,20.0,2020-08-04,54179142-d69e-11ea-a976-776999cfb07f,For Field Number 246490:Total fish caught 35; catch per unit effort (fish per hook) 0.04375,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,37441005-3215:487:3-2001,Teleostei,293496,Comfish_2000_2002,,1009756800000.0,994032000000.0,978307200000.0,2001.0,,-28.75,157.25,2001,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,BRS,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0001b279-5129-4994-9d93-c19c1415e191,d13ec1f1-d82a-4cdb-92e9-3f2144bf7a2e,['2a57cd59-6799-4579-955e-27c9af97aea4'],False,False,Thunnus alalunga,127026,['NO_DEPTH'],4509.77,350965,22.58,35.6,,,,,,,2006-04-10T02:06:00Z,urn:catalog:BRS:Comfish_2000_2002:37441005-3215:487:3-2001,"Record indicates the presence of commercial catch records in the stated year within the stated 0.5 x 0.5 degree square. Additional information including catch weights and gross value product is available via the National Atlas of Commercial Marine Fisheries and Coastal Communities which is accessible from the BRS home page, http://www.brs.gov.au .",present,"(Bonnaterre, 1788)",species,,,Commercial catch records (aggregated by year),BRS Australia: National commercial fisheries half-degree data set - Species,50000.0,POINT (157.25 -28.75),alalunga,,,Albacore,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,808185600000.0,808185600000.0,808185600000.0,1995.0,,26.25,-90.25,1995-08-12,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Gulf of Mexico,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0001e8be-fed2-4dc2-8dd4-cfacdae27592,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],3202.0,308921,26.32,36.05,SEFSC_LogBook,260.0,24,156780,260.0,260.0,2020-08-04,5d15408e-d69e-11ea-a976-776999cfb07f,For Field Number 156780:Total fish caught 31; catch per unit effort (fish per hook) 0.04428571,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,,,721180800000.0,721180800000.0,721180800000.0,1992.0,,42.6500015259,-52.125,1992-11-08T00:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0001ec96-9718-42d5-97d7-64da8b64522c,7aee17f1-d6e8-4204-a4b2-eafdf89563cf,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus obesus,127028,[],3124.0,449505,13.11,33.54,,1100.0,,,1200.0,1000.0,,,Haul: 3; Trip: L01,,,,Male,VU,,,,,,5114.22,"slon: -52.1833343505859, elon: -52.0666656494141, slat: 42.6333351135254, elat: 42.6666679382324",,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,,,823737600000.0,823737600000.0,823737600000.0,1996.0,,18.6000003815,-53.9916667938,1996-02-08T00:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0001ee11-55f7-4d6d-9929-7c134612664c,7aee17f1-d6e8-4204-a4b2-eafdf89563cf,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus obesus,127028,[],5147.0,784818,27.03,35.87,,2425.0,,,2450.0,2400.0,,,Haul: 2; Trip: K11,,,,,VU,,,,,,3806.25,"slon: -54, elon: -53.9833335876465, slat: 18.5666675567627, elat: 18.6333332061768",,observedweight=6.80389;,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,941846400000.0,941846400000.0,941846400000.0,1999.0,,31.0,-79.11,1999-11-06,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,South Atlantic Bight,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0001f6d5-814b-4f49-9169-4663e3386aa3,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],723.0,194361,26.64,36.11,SEFSC_LogBook,20.0,13,221508,20.0,20.0,2020-08-04,57869b1b-d69e-11ea-a976-776999cfb07f,For Field Number 221508:Total fish caught 54; catch per unit effort (fish per hook) 0.15428571,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,MCM-LINE-697529,Teleostei,293496,LINE,South Africa,627868800000.0,627868800000.0,627868800000.0,1989.0,24,-34.0527992249,18.3549995422,1989-11-24T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Hout Bay,True,11,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,1989,00020175-38df-4201-ab58-711229ef82b9,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus albacares,127027,['NO_DEPTH'],2.0,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occurrence,True,EME_1-43236,Teleostei,293496,ll_YugNIRO,,,,,,,-9.82156666666669,59.9557,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, Sète, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00020451-de36-4585-a295-0918c9b4d96a,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],297.0,363202,27.61,34.8,https://marineinfo.org/id/dataset/3125,,,,,,2013-06-20 10:06:23,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-43236",,present,,,,,,,,,,,,,,,,,,,,,,,
Occurrence,True,#1306919672304#0.8396327989004524,Teleostei,293496,Patudo (IEO),,,,,,,9.950139,-18.033472,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0002593f-0b35-4f42-a7cd-295879a25baa,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],3071.0,225190,27.07,35.21,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:Patudo (IEO):#1306919672304#0.8396327989004524:0x2120A80101000300",EME_1-fr.ird.observe.entities.TailleThon#1306919672304#0.8396327989004524,present,,,IND,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,812678400000.0,812678400000.0,812678400000.0,1995.0,,37.73,-74.15,1995-10-03,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Mid Atlantic Bight,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0002ae28-6732-4104-bb74-8b938a3cc0a3,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],467.0,100224,17.63,34.75,SEFSC_LogBook,72.0,3,160229,72.0,72.0,2020-08-04,5ceda69a-d69e-11ea-a976-776999cfb07f,For Field Number 160229:Total fish caught 3; catch per unit effort (fish per hook) 0.00422535,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,MCM-LINE-1992584,Teleostei,293496,LINE,South Africa,892684800000.0,892684800000.0,892684800000.0,1998.0,16,-34.3568992615,18.4972000122,1998-04-16T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Cape Point,True,4,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,1998,00030ad4-b4c1-496f-87ef-131218b81e30,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus alalunga,127026,"['NO_DEPTH', 'ON_LAND']",-15.0,-56,17.19,35.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,,,920419200000.0,920419200000.0,920419200000.0,1999.0,,6.75,-39.2583332062,1999-03-03T00:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00032290-95eb-48db-9e71-a6fd0b8f80a6,7aee17f1-d6e8-4204-a4b2-eafdf89563cf,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus obesus,127028,[],4926.0,1068236,27.79,35.22,,2100.0,,,2200.0,2000.0,,,Haul: 2; Trip: K23,,,,Female,VU,,,,,,33286.5,"slon: -39.466667175293, elon: -39.0499992370605, slat: 6.53333330154419, elat: 6.96666669845581",,,,,,,,,,,,
